"","player_api_id","player_name","no_of_appearences","overall_rating","gk_rating","no_of_leagues"
"210",256728,"Agustin Vuletich",1,65,56,1
"211",45872,"Ahmed Ammi",60,66,137,1
"212",41399,"Ahmed Apimah Barusso",1,71,137,1
"213",513810,"Ahmed El Messaoudi",15,65,45,1
"214",111930,"Ahmed El Mohamady",86,77,47,1
"215",561140,"Ahmed Hamoudi",1,66,54,1
"216",403003,"Ahmed Hassan Koka",66,76,62,1
"217",297556,"Ahmed Hegazy",1,66,51,1
"218",41182,"Ahmed Kantari",101,72,136,1
"219",120917,"Ahmed Kashi",8,70,121,1
"220",232103,"Ahmed Musa",28,76,61,1
"221",174597,"Ahmed Saied Okka",19,65,55,1
"222",174600,"Ahmed Samir Farag",6,64,53,1
"223",148953,"Ahmed Soukouna",1,53,101,1
"224",441166,"Ahmet Ozcan",1,50,53,1
"225",410141,"Aidan Connolly",4,61,63,1
"226",582500,"Aidan Nesbitt",3,53,56,1
"227",199829,"Aiden Chippendale",1,56,138,1
"228",32448,"Aiden McGeady",70,83,143,2
"229",34319,"Aimo Stefano Diana",36,79,114,2
"230",213737,"Airam Cabrera",20,65,118,1
"231",133535,"Airton",7,76,149,1
"232",128843,"Aislan",10,67,125,1
"233",715642,"Aissa Laidouni",1,59,61,1
"234",210683,"Aissa Mandi",120,79,64,1
"235",185301,"Aitor Nunez",4,67,128,1
"236",33993,"Aitor Ocio",34,77,138,1
"237",24160,"Aiyegbeni Yakubu",31,84,134,1
"238",243127,"Akaki Gogia",3,69,58,1
"239",20771,"Akihiro Ienaga",3,74,57,1
"240",244128,"Akoete Eninful",3,59,56,1
"241",23163,"Akos Buzsaky",8,72,144,1
"242",31255,"Akpo Sodje",11,69,130,1
"243",127255,"Akwetey Mensah",6,60,54,1
"244",33451,"Alaeddine Yahia",107,72,125,1
"245",26085,"Alain Cantareil",3,68,124,1
"246",34268,"Alain Nef",166,71,131,2
"247",182847,"Alain Pierre Mendy",1,58,57,1
"248",36785,"Alain Rochat",103,72,127,1
"249",67393,"Alain Schultz",20,64,87,1
"250",34417,"Alain Traore",58,76,103,1
"251",95220,"Alain Wiss",100,63,117,1
"252",32693,"Alan Combe",37,68,337,1
"253",32547,"Alan Gow",11,71,140,1
"254",37085,"Alan Haydock",6,64,149,1
"255",267728,"Alan Henrique",3,71,54,1
"256",32870,"Alan Hutton",135,79,145,2
"257",92935,"Alan Kardec",7,76,123,1
"258",14100,"Alan Mannus",78,69,341,1
"259",32845,"Alan Martin",1,60,312,1
"260",23081,"Alan Maybury",74,66,143,1
"261",24024,"Alan O'Brien",6,69,138,1
"262",667963,"Alan Schons",3,70,45,1
"263",30248,"Alan Smith",6,80,140,1
"264",23881,"Alan Tate",4,69,118,2
"265",312585,"Alan Uryga",53,61,60,1
"266",25926,"Alan",156,79,137,1
"267",441173,"Alassane Diallo",1,62,57,1
"268",294859,"Alassane Plea",42,75,69,1
"269",289250,"Alassane Tambe",19,66,105,2
"270",160220,"Alassane Toure",16,67,63,1
"271",121488,"Alban Joinel",1,61,312,1
"272",698273,"Alban Lafont",24,70,355,1
"273",94883,"Alban Meha",7,74,61,1
"274",177689,"Alban Pnishi",20,63,58,1
"275",37503,"Albano Benjamin Bizzarri",108,80,402,1
"276",41173,"Albert Baning",6,68,132,1
"277",35831,"Albert Bunjaku",50,74,117,2
"278",45605,"Albert Crusat",81,76,119,2
"279",37483,"Albert Meyong Ze",57,79,135,1
"280",396912,"Albert Rafetraniaina",11,62,66,1
"281",37920,"Albert Riera",33,82,147,1
"282",484858,"Albert Rusnak",36,74,53,1
"283",36066,"Albert Streit",4,81,132,1
"284",27694,"Alberto Aquilani",117,83,155,3
"285",107929,"Alberto Botia",133,77,137,1
"286",299879,"Alberto Brignoli",1,68,334,1
"287",41168,"Alberto Bueno",88,77,119,2
"288",38395,"Alberto Cifuentes",15,71,354,1
"289",47565,"Alberto De la Bella",130,78,134,1
"290",39425,"Alberto Fontana",2,77,384,1
"291",30143,"Alberto Frison,18",18,74,362,1
"292",102394,"Alberto Garcia",6,70,352,1
"293",30881,"Alberto Gilardino",224,85,117,1
"294",42460,"Alberto Giuliatto",21,64,130,1
"295",575364,"Alberto Grassi",15,70,49,1
"296",543020,"Alberto Guitian",1,68,119,1
"297",37451,"Alberto Lopo",169,80,139,1
"298",32763,"Alberto Luque,21",13,79,141,1
"299",39743,"Alberto Maria Fontana",6,66,321,1
"300",314605,"Alberto Moreno",90,79,54,2
"301",109121,"Alberto Paloschi",132,77,106,2
"302",39302,"Alberto Pelagotti",3,67,336,1
"303",231977,"Alberto Perea",3,69,37,1
"304",74028,"Alberto Pomini",6,67,326,1
"305",42121,"Alberto Regazzoni",72,68,123,1
"306",2790,"Alberto Rey",50,73,144,1
"307",30273,"Alberto Rivera",49,75,154,1
"308",88521,"Alberto Rodriguez",82,78,123,1
"309",38576,"Alberto Zapater",35,75,149,2
"310",527104,"Albian Ajeti",1,64,56,1
"311",26401,"Albin Ebondo",75,73,143,1
"312",71768,"Albin Ekdal",126,75,130,2
