"","team_api_id","team_name","buildUp_rating","chance_creation_rating","defense_rating","total_goals"
"133",8535,"Fiorentina",121,172,184,440
"134",9885,"Juventus",105,195,169,543
"135",8564,"Milan",170,177,164,496
"136",9857,"Bologna",164,175,135,263
"137",8686,"Roma",153,208,155,530
"138",9875,"Napoli",180,215,165,514
"139",9882,"Sampdoria",130,180,175,318
"140",8636,"Inter",182,203,165,496
"141",9804,"Torino",209,189,145,241
"142",9888,"Lecce",NA,175,165,121
"143",8600,"Udinese",205,199,160,415
"144",8540,"Palermo",168,165,152,351
"145",9976,"Bari",157,193,161,76
"146",8537,"Livorno",183,172,163,66
"147",10167,"Parma",152,176,166,272
"148",9880,"Cesena",143,170,145,98
"149",9858,"Brescia",141,180,155,34
"150",6269,"Novara",179,172,151,34
"151",9878,"Pescara",152,180,145,27
"152",9876,"Hellas Verona",157,173,169,145
"153",7943,"Sassuolo",188,186,138,141
"154",8534,"Empoli",145,186,164,86
"155",9891,"Frosinone",157,156,193,35
"156",208931,"Carpi",190,160,141,37
"157",8277,"Vitesse",145,173,180,423
"158",8674,"FC Groningen",142,177,149,390
"159",9803,"Roda JC Kerkrade",133,159,146,343
"160",8611,"FC Twente",131,172,197,509
"161",8525,"Willem II",150,166,153,222
"162",8593,"Ajax",117,199,193,647
"163",8464,"N.E.C.",150,158,146,310
"164",8526,"De Graafschap",NA,153,137,130
"165",9908,"FC Utrecht",152,182,159,408
"166",8640,"PSV",153,200,167,652
"167",9791,"Heracles Almelo",147,173,169,403
"168",10235,"Feyenoord",154,165,160,489
"169",8614,"Sparta Rotterdam",NA,140,90,76
"170",10217,"ADO Den Haag",162,181,173,366
"171",6601,"FC Volendam",NA,NA,NA,38
"172",10228,"SC Heerenveen",150,171,183,470
"173",10229,"AZ",154,185,184,492
"174",9761,"NAC Breda",153,141,143,294
"175",10219,"RKC Waalwijk",142,159,150,153
"176",9839,"VVV-Venlo",NA,164,155,152
"177",10218,"Excelsior",163,162,106,154
"178",6413,"PEC Zwolle",137,165,181,204
"179",7788,"SC Cambuur",136,159,138,119
"180",6433,"Go Ahead Eagles",160,132,141,74
"181",6631,"FC Dordrecht",134,176,164,24
"182",10265,"Wisla Kraków",135,183,205,332
"183",8031,"Polonia Bytom",NA,150,185,88
"184",8020,"Polonia Bytom",NA,150,185,245
"185",1601,"Ruch Chorzów",139,186,175,280
"186",8673,"Legia Warszawa",141,170,195,409
"187",2183,"P. Warszawa",NA,180,175,184
"188",8025,"Slask Wroclaw",140,165,180,318
"189",8030,"Lechia Gdansk",162,183,205,279
"190",8244,"Widzew Lódz",190,185,158,50
"191",8242,"Odra Wodzislaw",NA,155,205,50
"192",2182,"Lech Poznan",176,196,160,372
"193",8569,"GKS Belchatów",143,175,200,190
"194",8322,"Arka Gdynia",NA,150,205,77
"195",1957,"Jagiellonia Bialystok",158,163,210,287
"196",8028,"Piast Gliwice",183,169,195,204
"197",2186,"Cracovia",125,168,205,235
"198",8245,"Korona Kielce",192,169,172,237
"199",8021,"Zaglebie Lubin",133,192,210,207
"200",8024,"Widzew Lódz",190,185,158,122
"201",8033,"Podbeskidzie Bielsko-Biala",193,166,152,169
"202",8023,"Pogon Szczecin",134,185,158,152
"203",8027,"Zawisza Bydgoszcz",145,168,143,75
"204",8019,"Górnik Leczna",140,139,149,61
"205",177361,"Termalica Bruk-Bet Nieciecza",NA,NA,NA,33
"206",9773,"FC Porto",173,196,178,541
"207",9807,"CF Os Belenenses",157,160,135,148
"208",9768,"Sporting CP",178,204,174,411
"209",7992,"Trofense",NA,NA,NA,25
"210",7844,"Vitória Guimarães",131,179,177,300
"211",10238,"Vitória Setúbal",149,165,140,238
"212",6403,"FC Paços de Ferreira",142,170,150,292
"213",10264,"SC Braga",145,166,150,398
"214",10213,"Amadora",NA,NA,NA,26
"215",10215,"Académica de Coimbra",150,172,151,240
"216",7841,"Rio Ave FC",157,180,153,248
"217",9772,"SL Benfica",178,185,175,568
"218",6421,"Leixões SC",NA,165,90,55
"219",10214,"CD Nacional",167,165,156,332
"220",9809,"Naval 1° de Maio",NA,165,121,71
"221",10212,"CS Marítimo",182,186,144,316
"222",9771,"União de Leiria, SAD",NA,150,154,85
"223",2033,"S.C. Olhanense",147,165,155,138
"224",9765,"Portimonense",NA,NA,NA,29
"225",10211,"SC Beira Mar",NA,165,155,93
"226",4064,"Feirense",NA,NA,NA,27
"227",9764,"Gil Vicente FC",176,152,149,110
"228",8348,"Moreirense FC",139,144,138,101
"229",7842,"Estoril Praia",174,139,150,167
"230",158085,"FC Arouca",174,160,113,101
"231",6547,"FC Penafiel",147,146,121,29
"232",8613,"Boavista FC",153,128,148,51
"233",6367,"Uniao da Madeira",NA,NA,NA,27
"234",188163,"Tondela",NA,NA,NA,34
"235",8596,"Falkirk",NA,200,200,68
"236",8548,"Rangers",153,210,200,324
"237",9860,"Heart of Midlothian",168,210,200,317
"238",9927,"Motherwell",172,205,200,403
"239",8597,"Kilmarnock",167,205,200,346
"240",10251,"Hibernian",148,200,200,259
"241",8485,"Aberdeen",184,210,200,365
"242",8066,"Inverness Caledonian Thistle",169,174,139,345
"243",9925,"Celtic",180,205,200,695
"244",9800,"St. Mirren",178,210,200,257
"245",8429,"Hamilton Academical FC",143,200,195,185
"246",9938,"Dundee United",171,205,200,438
"247",8467,"St. Johnstone FC",162,150,142,308
"248",8457,"Dunfermline Athletic",NA,168,148,40
"249",8284,"Dundee FC",142,158,154,127
"250",8649,"Ross County FC",153,153,143,192
"251",8426,"Partick Thistle F.C.",143,160,143,135
"252",10267,"Valencia CF",116,185,175,484
"253",8661,"RCD Mallorca",172,163,156,238
"254",8371,"CA Osasuna",143,193,177,232
"255",10205,"Villarreal CF",126,161,165,364
"256",9783,"RC Deportivo de La Coruña",157,187,154,241
"257",8633,"Real Madrid CF",153,200,178,843
"258",8388,"CD Numancia",137,160,158,38
"259",8634,"FC Barcelona",122,175,195,849
"260",8696,"Racing Santander",147,205,168,160
"261",8302,"Sevilla FC",183,206,195,478
"262",9869,"Real Sporting de Gijón",153,185,195,200
"263",8305,"Getafe CF",117,155,164,345
"264",8603,"Real Betis Balompié",145,206,165,225
"265",8479,"RC Recreativo",148,140,151,34
"266",8558,"RCD Espanyol",146,196,180,338
"267",10281,"Real Valladolid",153,172,161,170
"268",8315,"Athletic Club de Bilbao",131,184,170,415
"269",9865,"UD Almería",152,180,193,202
"270",9906,"Atlético Madrid",157,206,160,524
"271",9864,"Málaga CF",129,191,164,377
"272",9868,"Xerez Club Deportivo",NA,159,165,38
"273",8394,"Real Zaragoza",154,166,158,159
"274",9867,"CD Tenerife",163,180,174,40
"275",10278,"Hércules Club de Fútbol",154,178,160,36
"276",8581,"Levante UD",171,182,155,241
"277",8560,"Real Sociedad",162,171,171,316
"278",7878,"Granada CF",166,200,170,179
