,university_name,alumni,award,hici,ns,pub,result.cluster
2304,Yeshiva University,0,0,12.6,17.9,33.5,3
2305,Yonsei University,0,0,7.3,9.6,48.9,3
2306,Zhejiang University,0,0,0,7.9,61.1,3
2307,Aristotle University of Thessaloniki,0,0,7.3,3.3,37.2,3
2308,Autonomous University of Barcelona,0,0,0,7.1,40,3
2309,Bar-Ilan University,0,0,12.6,9.3,28.2,3
2310,Ben-Gurion University of the Negev,0,0,7.3,8.9,36.8,3
2311,Brigham Young University,10.9,0,10.3,3.9,26.2,3
2312,Chalmers University of Technology,0,0,16.2,9.4,28.2,3
2313,City University of Hong Kong,0,0,7.3,0,36.1,3
2314,City University of New York City College,34.6,0,10.3,8.4,16.5,3
2315,Clemson University,0,0,12.6,6.8,28.5,3
2316,Technical University Darmstadt,17.3,0,7.3,9.1,28.6,3
2317,Dresden University of Technology,0,0,7.3,9,35.8,3
2318,Ecole National Superieure Mines - Paris,16.4,25.3,0,3.3,10.8,3
2319,Eotvos Lorand University,17.3,0,10.3,9.1,23.4,3
2320,Federal University of Minas Gerais,0,0,7.3,6.6,33,3
2321,Federal University of Rio de Janeiro,0,0,0,11.3,39.5,3
2322,Flinders University,17.3,0,7.3,5.1,23.4,3
2323,Fudan University,0,0,0,6.2,46.3,3
2324,Georgetown University,0,0,12.6,6.9,32.5,3
2325,Hanyang University,0,0,0,6.3,37.8,3
2326,Henri Poincare University (Nancy 1),13.4,18.9,0,8,20.4,3
2327,Hiroshima University,0,0,7.3,10.1,35.9,3
2328,Indian Institute of Science,0,0,12.6,6.4,33.4,3
2329,Indiana University-Purdue University at Indianapolis,0,0,0,7.8,39.4,3
2330,Jagiellonian University,12.2,0,7.3,4.8,31.6,3
2331,Kanazawa University,0,0,10.3,6.7,27.5,3
2332,Kansas State University,0,0,14.5,8.6,29.1,3
2333,Korea University,0,0,0,5.1,44.8,3
2334,Medical University of South Carolina,0,0,14.5,5.4,31.2,3
2335,Nagasaki University,13.4,0,10.3,4,25.1,3
2336,Nanyang Technological University,0,0,0,6.1,43.8,3
2337,National Chiao Tung University,0,0,7.3,5.7,36,3
2338,Niigata University,0,0,12.6,4.7,26.7,3
2339,Okayama University,0,0,7.3,10.8,34.2,3
2340,Pohang University of Science and Technology,0,0,7.3,8.6,28.5,3
2341,Polytechnic Institute of Milan,9.5,15.5,0,6,28.4,3
2342,Polytechnic University of Valencia,0,0,7.3,9.7,29.2,3
2343,Saint Louis University,0,12.6,10.3,4.4,26,3
2344,Saint Petersburg State University,26.8,0,0,6.3,28.9,3
2345,San Diego State University,0,0,14.5,12.3,25.8,3
2346,Scuola Normale Superiore - Pisa,0,0,12.6,4.7,17,3
2347,Shandong University,0,0,0,3.9,40.7,3
2348,State University of New York Health Science Center at Brooklyn,0,15.5,10.3,5.7,17.6,3
2349,Sungkyunkwan University,0,0,0,9.1,41.7,3
2350,Swedish University of Agricultural Sciences,0,0,12.6,12.9,28.6,3
2351,Syracuse University,0,0,16.2,9.6,26.1,3
2352,Technical University of Braunschweig,14.5,0,7.3,7.7,23.6,3
2353,Temple University,0,0,14.5,4.8,31.6,3
2354,Texas Tech University,0,0,10.3,6.1,29.8,3
2355,The Hong Kong Polytechnic University,0,0,12.6,1.5,36.1,3
2356,The Open University,0,0,12.6,14.7,21.6,3
2357,The University of Montana - Missoula,7.7,0,12.6,11.8,16.9,3
2358,The University of Texas at Dallas,0,0,10.3,13.7,26.9,3
2359,The University of Texas Medical Branch at Galveston,0,0,17.8,8.4,27.8,3
2360,The University of Tokushima,0,0,10.3,8.2,23.9,3
2361,Thomas Jefferson University,0,0,16.2,1.5,27.9,3
2362,Tokyo Medical and Dental University,0,0,7.3,11.7,26.7,3
2363,Tulane University,0,0,14.5,10.1,27,3
2364,University College Cork,0,0,16.2,5.9,23,3
2365,University College Dublin,0,0,7.3,6.5,33.4,3
2366,University of Alaska - Fairbanks,0,0,14.5,14.6,21.6,3
2367,University of Arkansas at Fayetteville,0,0,10.3,11.8,24.7,3
2368,University of Bayreuth,0,0,7.3,15,24.3,3
2369,University of Bielefeld,0,0,14.5,11.6,24.6,3
2370,University of Bremen,0,0,0,15.1,29.7,3
2371,University of Duisburg-Essen,0,0,7.3,7.9,30.3,3
2372,University of Exeter,0,0,0,18.4,27.8,3
2373,University of Ferrara,0,0,10.3,5.5,26.6,3
2374,University of Genova,0,0,14.5,3.9,32.6,3
2375,University of Giessen,0,0,7.3,6.3,30.8,3
2376,University of Graz,10.9,12.6,0,9.2,19.9,3
2377,University of Jena,0,0,0,12,35.3,3
2378,University of Konstanz,0,0,14.5,10.3,22.4,3
2379,University of Maastricht,0,0,0,7,35.7,3
2380,University of Naples Federico II,0,0,7.3,4.9,42.2,3
2381,University of Nebraska Medical Center,0,0,16.2,7.7,23,3
2382,University of Nevada - Reno,0,0,10.3,13.9,24.9,3
2383,University of New Hampshire - Durham,0,0,14.5,13.4,21.8,3
2384,University of Newcastle,0,0,10.3,7.8,26.8,3
2385,University of Oklahoma - Norman,0,0,10.3,8.9,29.5,3
2386,University of Oulu,13.4,0,7.3,6.6,28.5,3
2387,University of Palermo,0,0,12.6,7.2,28.9,3
2388,University of Paris Dauphine (Paris 9),0,26.8,7.3,0,12.1,3
2389,University of Provence (Aix-Marseille 1),16.4,0,7.3,10.3,22.4,3
2390,University of Regensburg,0,0,7.3,7.2,31.8,3
2391,University of Rennes 1,0,0,7.3,10.5,27.5,3
2392,University of Rhode Island,0,0,20.5,10,20.2,1
2393,University of Southern Denmark,0,0,14.5,10.2,29.6,3
2394,University of Surrey,0,0,7.3,4.9,28.4,3
2395,University of Szeged,0,15.5,7.3,4.7,23,3
2396,University of Tasmania,0,0,7.3,7.7,25.1,3
2397,University of the Witwatersrand,21.9,0,0,9.9,27.8,3
2398,University of Turku,0,0,12.6,7.7,32.1,3
2399,University of Twente,0,0,10.3,6.2,27.7,3
2400,University of Ulm,0,0,7.3,9.7,31.1,3
2401,University of Warsaw,18.9,0,0,6.6,33.1,3
2402,University of Wollongong,0,0,12.6,8.6,26.5,3
2403,Vrije University Brussel,15.5,0,0,7.8,26.4,3
2404,Wake Forest University,0,0,10.3,6.8,32.4,3
2405,Waseda University,0,0,12.6,10.2,28.3,3
2406,Auburn University,0,0,7.3,6.4,29.9,3
2407,Boston College,0,0,7.3,10.3,21.9,3
2408,Brunel University,0,0,10.3,1.5,25.1,3
2409,Carleton University,0,0,12.6,4.7,24.8,3
2410,Catholic University of Chile,0,0,7.3,8.9,26.1,3
2411,Catholic University of the Sacred Heart,0,0,7.3,5.1,28.3,3
2412,Chang Gung University,0,0,7.3,2.1,30.4,3
2413,Chiba University,0,0,0,8.2,32.1,3
2414,China Agricultural University,0,0,0,7.4,33.9,3
2415,Curtin University of Technology,0,0,0,11.2,25.7,3
2416,Dalian University of Technology,0,0,0,2.1,36.7,3
2417,Drexel University,0,0,0,10.4,28.1,3
2418,Ecole Normale Superieure - Lyon,0,0,7.3,10.9,20.4,3
2419,Ehime University,0,0,7.3,6.9,22.7,3
2420,Eindhoven University of Technology,0,0,0,7.2,32.3,3
2421,Federal University of Rio Grande do Sul,0,0,0,2.3,35.3,3
2422,Gifu University,0,0,7.3,4.8,23.9,3
2423,Gunma University,0,0,7.3,7.3,22.5,3
2424,Hannover Medical School,0,0,0,8.4,28.5,3
2425,Harbin Institute of Technology,0,0,0,0,38.4,3
2426,Huazhong University of Science and Technology,0,0,0,0,38.5,3
2427,Indian Institute of Technology Kharagpur,0,0,10.3,0,29.7,3
2428,Istanbul University,15.5,0,0,3,30.6,3
2429,James Cook University,0,0,10.3,13.9,16,3
2430,Jilin University,0,0,0,2.1,38.5,3
2431,Kagoshima University,0,0,10.3,4.9,22.1,3
2432,King Saud University,0,0,17,1.5,18.8,3
2433,Kumamoto University,0,0,7.3,5.4,25.5,3
2434,Kyungpook National University,0,0,0,3.9,32.6,3
2435,La Trobe University,0,0,7.3,7.7,23.1,3
2436,Lanzhou University,0,0,0,6.4,35.2,3
2437,Lehigh University,0,0,10.3,6.5,20.7,3
2438,Linkoping University,0,0,7.3,2.6,30.6,3
2439,Massey University,0,0,10.3,2.6,27.1,3
2440,Medical College of Wisconsin,0,0,7.3,6.1,27.7,3
2441,Medical University of Graz,0,10.9,7.3,3.3,19.3,3
2442,Medical University of Innsbruck,0,0,12.6,5.4,25.2,3
2443,Montana State University - Bozeman,0,0,7.3,10.5,20.5,3
2444,Nankai University,0,0,0,7.1,36.3,3
2445,Nara Institute of Science and Technology,0,0,10.3,10.5,17.5,3
2446,National Central University,0,0,0,8.4,29.5,3
2447,National Yang Ming University,0,0,0,6.9,28.8,3
2448,Nihon University,0,0,7.3,5.7,28.1,3
2449,Northeastern University,0,0,7.3,8.3,25.7,3
2450,Osaka City University,0,0,7.3,5,25.9,3
2451,Osaka Prefecture University,0,0,10.3,6.5,23.2,3
2452,Polytechnic University of Turin,0,0,12.6,0,26.6,3
2453,Pusan National University,0,0,0,7.2,32.1,3
2454,"Royal Holloway, U. of London",0,0,7.3,12.1,16.2,3
2455,Sao Paulo State University,0,0,0,2.8,37.8,3
2456,Sichuan University,0,0,0,1.5,42.8,3
2457,Southern Methodist University,13.4,0,7.3,4.7,18.3,3
2458,Sun Yat-sen University,0,0,0,3.5,40.1,3
2459,Swinburne University of Technology,0,0,10.3,6.9,16.6,3
2460,The University of Connecticut Health Center,0,0,10.3,10.5,22.5,3
2461,Tianjin University,0,0,0,3.3,33.7,3
2462,Tokyo University of Agriculture and Technology,0,0,7.3,5.7,24.5,3
2463,University of Bari,0,0,0,6.3,31.1,3
2464,University of Canterbury,0,0,7.3,7.5,25,3
2465,University of Chile,9.5,0,0,4.3,31.2,3
2466,University of Dortmund,0,0,7.3,6.8,23.6,3
2467,University of Eastern Finland,0,0,7.3,5.5,25.8,3
2468,University of Essex,15.5,0,7.3,5.3,19.4,3
2469,University of Fribourg,0,0,10.3,9.3,16.1,3
2470,University of Granada,0,0,0,3.5,33.7,3
2471,University of Greifswald,0,8.9,7.3,2.1,22.8,3
2472,University of Haifa,0,0,7.3,4.9,26.6,3
2473,University of Hannover,0,0,7.3,7.1,25.7,3
2474,University of Hertfordshire,0,0,7.3,10.4,15.7,3
2475,University of Jyvaskyla,0,0,7.3,6.8,24.5,3
2476,University of Kansas Medical Center,0,0,12.6,5.7,20.6,3
2477,University of KwaZulu-Natal,0,0,7.3,9.9,25.8,3
2478,University of Lille 1,0,0,7.3,10.6,21.9,3
2479,University of Lisbon,0,8.9,0,6.1,25.5,3
2480,University of Ljubljana,0,0,0,5.9,35.2,3
2481,University of Louisville,0,0,0,7.5,30.9,3
2482,"University of Maryland, Baltimore County",0,0,12.6,7,17.4,3
2483,University of Nice Sophia Antipolis,0,0,7.3,14,23.2,3
2484,University of Parma,0,0,7.3,6.2,26,3
2485,University of Pavia,0,0,0,7.5,30.3,3
2486,University of Perugia,0,0,7.3,6.8,28.6,3
2487,University of Pompeu Fabra,0,0,7.3,10.6,20,3
2488,University of Porto,0,0,0,5.1,34,3
2489,University of Quebec,0,0,0,8.4,34,3
2490,University of Roma - Tor Vergata,0,0,0,7.4,34,3
2491,University of Santiago Compostela,0,0,0,5.3,30.7,3
2492,University of Sevilla,0,0,0,7.4,30.4,3
2493,University of Sherbrooke,0,0,7.3,9.7,23.3,3
2494,University of Siena,0,0,0,7.2,27.8,3
2495,University of Tehran,14.5,0,0,0,33.7,3
2496,University of Tromso,0,0,10.3,8,23.8,3
2497,University of Wyoming,0,0,7.3,11.3,22.7,3
2498,University of Zaragoza,0,0,7.3,3.6,30.1,3
2499,Utah State University,0,0,7.3,6.6,23.2,3
2500,Victor Segalen Bordeaux 2 University,0,0,7.3,7.7,23.6,3
2501,Victoria University of Wellington,13.4,0,0,9,20.6,3
2502,Vienna University of Technology,0,0,0,12.9,27.4,3
2503,Yamaguchi University,0,0,16.2,2.1,20.8,3
2504,York University,0,0,0,8.2,30.6,3
2505,Harvard University,100,100,100,100,100,2
2506,"University of California, Berkeley",67.6,79.3,69,70.9,70.6,2
2507,Stanford University,40.2,78.4,87.6,68.4,69.7,2
2508,Massachusetts Institute of Technology (MIT),70.5,80.3,66.8,70.1,61.4,2
2509,University of Cambridge,88.5,92.6,53.9,54.3,65.7,2
2510,California Institute of Technology,50.3,68.8,56.7,64.8,46.9,2
2511,Princeton University,56.4,84.8,61.1,43.3,44.3,2
2512,Columbia University,70.7,67.4,56.2,47.6,69.9,2
2513,University of Chicago,65.5,83.9,50.9,39.8,50.5,2
2514,University of Oxford,56.2,57.6,48.8,49.8,68.5,2
2515,Yale University,48.6,44.9,58.5,56.3,62,2
2516,Cornell University,42.3,51.1,54.3,49.9,59.5,2
2517,"University of California, Los Angeles",27.2,42.6,56.9,49.2,75.1,2
2518,"University of California, San Diego",15.1,35.8,60.2,54.6,65.1,2
2519,University of Pennsylvania,32.9,34.3,57.1,46.9,68.6,2
2520,University of Washington,24.4,31.7,53.9,51.6,72.5,2
2521,University of Wisconsin - Madison,36.5,35.4,51.9,40.2,66.1,2
2522,The Johns Hopkins University,43.6,32.1,42,49.4,64,2
2523,"University of California, San Francisco",0,40.1,53.4,51.8,60.7,2
2524,The University of Tokyo,33.3,14.1,42,52,80.4,2
2525,University College London,32.9,32.1,39.4,44.6,67,2
2526,University of Michigan - Ann Arbor,36.5,0,59.8,43.4,79.8,2
2527,Swiss Federal Institute of Technology Zurich,34.1,36.1,36.3,43.6,53.6,2
2528,Kyoto University,33.7,34.7,38.1,36,67.6,2
2529,University of Illinois at Urbana-Champaign,35.4,36.5,42.6,37.1,58.6,2
2530,"The Imperial College of Science, Technology and Medicine",17.7,37.2,41.4,36.9,62.3,2
2531,University of Toronto,23.8,19.2,38.8,38.3,80.3,2
2532,"University of Minnesota, Twin Cities",30.6,16.2,50.4,36.1,66.6,2
2533,Northwestern University,18.5,18.9,48.3,35.9,59.7,2
2534,Washington University in St. Louis,21.3,25.9,38.8,41,54.8,2
2535,New York University,32.4,24.4,40.7,36.2,54.4,2
2536,"University of California, Santa Barbara",16,35.1,42,33.3,42.6,2
2537,University of Colorado at Boulder,14.1,30.7,38.8,41.7,44.7,2
2538,Rockefeller University,19.2,58.4,28.8,42.3,21,1
2539,Duke University,17.7,0,45.8,42.2,62,2
2540,University of British Columbia,17.7,18.9,32.2,30.8,65.7,1
2541,"University of Maryland, College Park",22,19.9,41.4,29,53.6,1
2542,The University of Texas at Austin,18.5,16.6,46.1,28.4,54.4,2
2543,Pierre and Marie  Curie University - Paris 6,34.8,23.5,24.9,28.8,59.9,1
2544,University of Copenhagen,26.1,24.1,26,26,56.4,1
2545,University of North Carolina at Chapel Hill,10.7,16.2,39.4,27.7,60.6,1
2546,Karolinska Institute,26.1,27.2,31.4,20.5,49.9,1
2547,Pennsylvania State University - University Park,11.9,0,46.6,37.4,56.1,2
2548,The University of Manchester,23.2,18.9,27.9,28,59.1,1
2549,University of Paris Sud (Paris 11),31.7,46,12.5,20.8,49.9,1
2550,"University of California, Davis",0,0,47.2,31.7,63,2
2551,"University of California, Irvine",0,29.3,36.7,26.3,49.3,1
2552,University of Southern California,0,26.7,38.8,26.3,53.1,1
2553,The University of Texas Southwestern Medical Center at Dallas,20.6,33.1,30.5,29.9,38.4,1
2554,Utrecht University,26.1,20.9,27.9,30.4,48.2,1
2555,University of Zurich,10.7,26.7,26.4,28.7,50.6,1
2556,University of Munich,31.5,22.8,16.1,26.3,54.5,1
2557,Vanderbilt University,17.7,29.5,31.4,20.2,50.8,1
2558,"Rutgers, The State University of New Jersey",13.1,19.9,40.1,27.9,43.7,1
2559,The University of Edinburgh,19.2,16.6,26,34.2,51.3,1
2560,Technical University Munich,39.2,23.5,24.9,19.5,46.5,1
2561,University of Pittsburgh,21.3,0,42,23.4,63.1,1
2562,Carnegie Mellon University,32.9,32.7,30.5,15.2,34.2,1
2563,The Australian National University,15.1,12.6,36,27.8,43.8,1
2564,The Ohio State University - Columbus,15.1,0,41.7,22.8,62,1
2565,McGill University,31.1,0,32.2,22.9,59.6,1
2566,University of Melbourne,19.9,14.1,22.8,18.7,63.1,1
2567,King's College London,14.1,23,31.4,16.7,50.7,1
2568,University of Heidelberg,16.9,27,17.6,23,50.6,1
2569,Brown University,16,13.6,31.4,29.6,41.9,1
2570,University of Bristol,9.2,17.8,28.8,29.1,47.3,1
2571,Uppsala University,22,32.1,14.4,19.9,49.5,1
2572,University of Florida,19.2,0,36.7,20.6,63.9,1
2573,Purdue University - West Lafayette,16,16.6,29.7,22.4,51.8,1
2574,Leiden University,21.3,15.4,27.9,19.9,47.8,1
2575,Ecole Normale Superieure - Paris,50.8,24.4,12.5,18.7,27.9,3
2576,The Hebrew University of Jerusalem,31.5,19.9,24.9,20.8,41.6,1
2577,University of Helsinki,16,17.8,22.8,20.6,52.7,1
2578,Moscow State University,46.8,34.1,0,9.6,52.4,3
2579,Osaka University,10.7,0,26.9,27.9,60.2,1
2580,University of Oslo,22,33.3,17.6,13.5,46.6,1
2581,Boston University,13.1,11.5,29.7,24.7,50,1
2582,University of Arizona,0,0,29.7,37.5,52.1,1
2583,Stockholm University,25,29.5,16.1,20.4,37.5,1
2584,Nagoya University,24.4,14.1,16.1,24.3,48.1,1
2585,Arizona State University - Tempe,0,19.9,24.9,26.9,44.3,1
2586,University of Rochester,0,11.5,30.5,27,46.6,1
2587,University of Utah,28.2,8.9,26.9,20.6,43.3,1
2588,Tohoku University,16,0,21.6,20.8,60.3,1
2589,University of Nottingham,13.1,19.9,23.9,16.1,47.6,1
2590,Michigan State University,10.7,0,37.4,19.1,52.4,1
2591,University of Basel,22,17,22.8,19.4,36.2,1
2592,McMaster University,14.1,18.9,22.8,14.8,47.3,1
2593,The University of Sheffield,19.9,14.1,21,21.3,44.3,1
2594,Ghent University,7.5,15.4,17.6,15.1,54.4,1
2595,Indiana University Bloomington,11.9,22.7,24.9,18.5,39.9,1
2596,University of Sydney,16.9,0,20.4,18.4,61.4,1
2597,University of Bonn,16.9,19.9,14.4,23.3,42.5,1
2598,University of Goettingen,32.9,19.9,14.4,17.2,40.7,1
2599,Texas A&M University - College Station,0,0,34.5,21,54,1
2600,University of Virginia,0,0,34.5,26.8,47.5,1
2601,Case Western Reserve University,34.5,11.5,21.6,14.3,41.9,1
2602,Aarhus University,13.1,18.9,7.2,23.5,48.4,3
2603,Rice University,18.5,21.8,21.6,18.8,30.2,1
2604,University of Birmingham,21.3,10.9,21.6,16.2,46.4,1
2605,Baylor College of Medicine,0,0,19,32.1,41,1
2606,Catholic University of Leuven,0,0,21.6,15,53.8,1
2607,Catholic University of Louvain,11.9,13.6,17.6,13.8,41.9,1
2608,Emory University,0,0,30.5,24.1,50.5,1
2609,Georgia Institute of Technology,14.1,0,26,23.8,45.2,1
2610,Lund University,25,0,24.9,17,50.1,1
2611,Mayo Medical School,0,0,24.9,16.1,48,1
2612,National Taiwan University,13.1,0,16.1,11.6,59.6,3
2613,National University of Singapore,0,0,10.2,14.6,59.1,3
2614,North Carolina State University - Raleigh,0,0,27.9,15.9,42.9,1
2615,Oregon State University,13.1,0,26.9,24.7,36.5,1
2616,Seoul National University,0,0,7.2,13.1,66.5,3
2617,Swiss Federal Institute of Technology of Lausanne,0,0,23.9,20.1,40.4,1
2618,Technion-Israel Institute of Technology,16,23,16.1,14,36.9,3
2619,Tel Aviv University,0,0,23.9,15.9,50.9,1
2620,The University of Georgia,0,0,26.9,19.8,44.2,1
2621,The University of Queensland,14.1,0,12.5,24,57.3,1
2622,The University of Western Australia,15.1,14.1,21.6,13.1,42.6,1
2623,Tokyo Institute of Technology,14.1,0,21.6,22.8,44.4,1
2624,Tufts University,16,16.6,22.8,13,37.4,1
2625,University Libre Bruxelles,18.5,18.9,12.5,13.1,32,3
2626,University of Alberta,13.1,0,20.4,21.3,56.9,1
2627,University of Amsterdam,7.5,0,19,20.9,51.9,1
2628,"University of California, Riverside",14.1,0,27.9,26.6,34.4,1
2629,"University of California, Santa Cruz",0,0,27.9,32,30.8,1
2630,University of Frankfurt,34.1,8.9,19,16.6,39.6,1
2631,University of Freiburg,21.3,20.9,16.1,18,37.4,1
2632,University of Geneva,25,0,20.4,24.9,37.2,1
2633,University of Groningen,0,19.9,17.6,16.3,46.2,1
2634,University of Hawaii at Manoa,0,0,26,27.9,37.6,1
2635,University of Iowa,0,0,33,23.6,46.7,1
2636,University of Leeds,19.2,0,14.4,22.8,44,1
2637,University of Liverpool,19.9,15.4,12.5,17.6,40.3,3
2638,University of Massachusetts Amherst,15.1,0,33,17.5,36,1
2639,University of Massachusetts Medical School - Worcester,0,19.9,14.4,26.7,28.2,1
2640,University of Miami,0,0,23.9,20.7,43.2,1
2641,University of Milan,19.2,0,19,13.2,48.6,1
2642,University of Montreal,13.1,0,14.4,18,53.4,1
2643,University of Muenster,21.3,15.4,12.5,15,35.8,3
2644,University of Paris Diderot (Paris 7),15.5,13.8,14.4,21.9,42,1
2645,University of Pisa,16,23.5,16.1,4.1,38.9,3
2646,University of Roma - La Sapienza,14.1,15.4,10.2,13.7,50.6,3
2647,University of Sao Paulo,0,0,10.2,13.3,76.3,3
2648,University of Strasbourg,25,22.4,17.6,15.9,36.6,1
2649,University of Sussex,0,22.7,19,15.7,27.1,1
2650,University of Tuebingen,25,0,14.4,17.4,42,1
2651,University of Wageningen,0,0,28.8,14.3,39.3,1
2652,University of Wuerzburg,21.3,8.9,23.3,13.7,35,1
2653,VU University Amsterdam,0,0,23.9,13.4,51.8,1
2654,Weizmann Institute of Science,14.1,16.2,23.9,28,29.4,1
2655,Cardiff University,0,16.2,7.2,20.3,42.2,3
2656,Colorado State University,0,0,27.9,13.8,37.1,1
2657,Dartmouth College,20.6,0,22.8,18.1,30.7,1
2658,Delft University of Technology,13.1,0,7.2,21.5,40.3,3
2659,Erasmus University,0,15.4,21.6,5.2,33.5,3
2660,Florida State University,0,0,20.4,18.4,39.5,1
2661,George Mason University,0,32.1,10.2,7.1,28.5,3
2662,Hokkaido University,0,0,16.1,16.1,47.7,1
2663,Iowa State University,0,0,22.8,13.7,42.9,1
2664,Joseph Fourier University (Grenoble 1),0,15.4,10.2,19.8,37.9,3
2665,Kyushu University,0,0,14.4,17.6,49.7,1
2666,Louisiana State University - Baton Rouge,0,0,19,16,38,1
2667,Monash University,0,0,10.2,16.2,52.4,3
2668,Mount Sinai School of Medicine,0,0,19,19.3,35.4,1
2669,National Autonomous University of Mexico,14.1,0,7.2,12.7,50.6,3
2670,Oregon Health and Science University,0,0,19,19.7,35.4,1
2671,Peking University,0,0,0,13.5,59,3
2672,Radboud University Nijmegen,0,0,10.2,19.4,48.5,3
2673,State University of New York at Stony Brook,0,0,19,22.8,37.9,1
2674,Technical University of Denmark,7.5,12.6,17.6,13.9,36.5,1
2675,The Chinese University of Hong Kong,0,14.1,14.4,6.1,43.1,3
2676,The University of Alabama at Birmingham,0,0,16.1,18.5,42.4,1
2677,The University of Calgary,0,0,10.2,17,46.2,3
2678,The University of Connecticut - Storrs,13.1,0,16.1,13.5,37,3
2679,The University of Glasgow,10.7,0,21.6,15.5,42.8,1
2680,The University of Texas Health Science Center at Houston,0,15.4,17.6,16.4,30.4,1
2681,The University of Texas M. D. Anderson Cancer Center,0,0,21.6,15.6,42.8,1
2682,Tsinghua University,11.9,0,0,11.8,57.8,3
2683,University of Bern,14.1,0,10.2,20.8,39.1,3
2684,University of Buenos Aires,18.5,25.2,0,6.3,37.9,3
2685,University of Delaware,11.9,0,22.8,13.3,32.8,1
2686,University of Durham,0,0,19,18.6,33.3,1
2687,University of Hamburg,14.1,0,17.6,16.4,34.3,1
2688,University of Illinois at Chicago,0,0,26.9,9.6,46.1,1
2689,University of Kiel,13.1,15.4,10.2,12.2,32.9,3
2690,University of Koeln,0,12.6,7.2,20.8,37.9,3
2691,University of Mainz,0,8.1,17.6,19.6,38.1,1
2692,"University of Maryland, Baltimore",0,0,22.8,16.5,38.6,1
2693,University of Nebraska - Lincoln,19.9,0,16.1,14.8,33.4,1
2694,University of New South Wales,0,0,19,11.3,52.2,1
2695,University of Padua,0,0,12.5,18.8,48.8,3
2696,University of Paris Descartes (Paris 5),13.7,11.9,10.2,16.5,41.1,3
2697,University of Southampton,0,0,19,17.9,42.6,1
2698,University of Tennessee - Knoxville,11.9,0,21.6,17,39.1,1
2699,University of Tsukuba,0,19.9,12.5,8.7,39.1,3
2700,University of Vienna,17.7,0,10.2,19.3,37.3,3
2701,University of Warwick,0,0,24.4,14.8,37.5,1
2702,University of Waterloo,0,0,19,10.3,41.7,1
2703,Virginia Commonwealth University,11.9,14.1,17.6,9.9,34.2,3
2704,Virginia Polytechnic Institute and State University,13.1,0,21.6,15,40.8,1
2705,Autonomous University of Madrid,0,0,12.5,14.3,38.6,3
2706,Brandeis University,21.3,0,7.2,18.1,19.8,3
2707,Chalmers University of Technology,0,0,16.1,11.6,28.4,3
2708,Charles University in Prague,13.1,0,0,12.3,43.1,3
2709,City University of New York City College,33.7,0,10.2,9.7,18,3
2710,Claude Bernard University Lyon 1,13.1,0,0,19.7,40.2,3
2711,Complutense University of Madrid,16.9,0,0,9,43.3,3
2712,Dalhousie University,0,0,14.4,15.6,34.5,3
2713,Ecole Polytechnique,19.2,0,7.2,9.2,28.6,3
2714,Fudan University,0,0,0,9.2,48.8,3
2715,Industrial Physics and Chemistry Higher Educational Institution - Paris,9.2,18.9,0,11.1,16.8,3
2716,Keio University,0,0,10.2,11.8,35.5,3
2717,Korea Advanced Institute of Science and Technology,0,0,7.2,15.7,40.5,3
2718,Korea University,0,0,0,7,48.1,3
2719,Lancaster University,0,0,17.6,11.9,28.7,3
2720,Laval University,0,0,16.1,10.6,39,3
2721,Macquarie University,0,0,16.1,13.2,29.3,3
2722,Medical University of Vienna,11.9,15.4,7.2,7.9,33,3
2723,Nanjing University,0,0,0,12.2,45.9,3
2724,National and Kapodistrian University of Athens,0,0,12.5,5.1,42.6,3
2725,National Cheng Kung University,0,0,10.2,2.1,48.4,3
2726,Newcastle University,0,0,14.4,17.5,36.8,1
2727,Norwegian University of Science and Technology,16,0,10.2,15.1,36.7,3
2728,Paul Sabatier University (Toulouse 3),0,6.3,0,16.9,38.1,3
2729,Polytechnic Institute of Milan,9.2,15.4,0,7.7,30.4,3
2730,"Queen Mary, U. of London",20.6,0,16.1,16.9,27,1
2731,Queen's University,0,0,16.1,15.3,36.8,1
2732,Queen's University,19.9,0,0,14.8,33.3,3
2733,Rensselaer Polytechnic Institute,14.1,0,17.6,11.3,25.1,3
2734,Royal Institute of Technology,0,15.4,0,9.2,36.2,3
2735,RWTH Aachen University,5.3,0,7.2,10.3,39.2,3
2736,Shanghai Jiao Tong University,0,0,0,7.2,58.1,3
2737,Simon Fraser University,0,0,14.4,9.2,34.7,3
2738,State University of Campinas,0,0,7.2,7.8,44.3,3
2739,State University of New York at Buffalo,0,0,16.1,7.5,39.5,3
2740,Swedish University of Agricultural Sciences,0,0,12.5,12.1,28.6,3
2741,Technical University of Berlin,19.9,0,16.1,7.7,29.4,3
2742,The George Washington University,13.1,0,12.5,10.8,32.5,3
2743,The Hong Kong Polytechnic University,0,0,14.4,1.5,39.6,3
2744,The Hong Kong University of Science and Technology,0,0,16.1,5.7,32.7,3
2745,The University of Adelaide,16.9,0,10.2,11.1,37.4,3
2746,The University of Auckland,15.1,0,10.2,14.4,36.9,3
2747,The University of Hong Kong,0,0,14.4,10.4,43.9,3
2748,The University of New Mexico - Albuquerque,0,0,12.5,18.3,35.8,3
2749,The University of Reading,0,0,14.4,16.3,27.8,3
2750,The University of Texas Health Science Center at San Antonio,0,0,22.8,6.9,30,1
2751,Trinity College Dublin,13.1,14.1,7.2,10.5,30.3,3
2752,Umea University,0,0,14.4,12.8,32.9,3
