,university_name,alumni,award,hici,ns,pub,result.cluster
142,University of Milan,22.6,0,15.7,14.2,49.7,3
143,University of Muenster,25.1,15.8,11.1,14.8,38.3,3
144,University of Pisa,18.8,24.1,11.1,8.7,40.6,3
145,University of Sao Paulo,0,0,11.1,11,63.5,3
146,University of Sussex,0,23.2,19.2,15.9,28.8,1
147,University of Sydney,19.8,0,19.2,17.8,54.5,1
148,University of Tsukuba,0,20.4,13.6,12.7,42.9,3
149,University of Tuebingen,29.4,0,15.7,22.4,43.7,1
150,University of Virginia,0,0,29.4,23.6,47.9,1
151,University of Wuerzburg,25.1,9.1,22.2,16.9,37.9,1
152,Weizmann Institute of Science,0,0,26.1,35.1,33.6,1
153,Autonomous University of Madrid,19.8,0,13.6,11.4,36.3,3
154,Brandeis University,25.1,0,7.9,26.1,20.3,1
155,Cardiff University,0,0,13.6,17,42.5,3
156,Colorado State University,0,0,27.2,14.8,37.6,1
157,Erasmus University,0,15.8,15.7,11,29.8,3
158,Florida State University,0,0,22.2,17.1,37.9,1
159,Iowa State University,0,0,24.8,11.5,45,1
160,Joseph Fourier University (Grenoble 1),0,15.8,11.1,14.4,32.5,3
161,Mount Sinai School of Medicine,0,0,19.2,18.3,34,1
162,National Autonomous University of Mexico,16.6,0,7.9,15.1,49,3
163,National Taiwan University,15.4,0,7.9,7.3,53.2,3
164,Oregon Health and Science University,0,0,17.6,23.9,35.2,1
165,Queen's University,0,0,19.2,17,35.2,1
166,Rensselaer Polytechnic Institute,16.6,0,19.2,12.2,26.8,1
167,Swiss Federal Institute of Technology of Lausanne,0,0,17.6,18.1,38.7,1
168,Technical University of Denmark,8.9,12.9,17.6,11.8,30.6,3
169,The University of Alabama at Birmingham,0,0,17.6,14.2,43.5,1
170,The University of Calgary,0,0,11.1,16,44.2,3
171,The University of Connecticut - Storrs,15.4,0,17.6,12,37.8,3
172,The University of Texas Health Science Center at Houston,0,15.8,17.6,16.8,29.7,1
173,The University of Texas M. D. Anderson Cancer Center,0,0,23.6,12.4,39.5,1
174,The University of Western Australia,0,0,20.8,13.8,40.1,1
175,Tsinghua University,14,0,0,9.9,55.7,3
176,University of Barcelona,0,0,11.1,14.1,46.3,3
177,University of Bern,16.6,0,11.1,23.5,35.5,1
178,University of Cincinnati,0,0,24.8,12.1,44.8,1
179,University of Delaware,14,0,20.8,15.9,36.2,1
180,University of East Anglia,17.7,0,17.6,20.2,25.1,1
181,University of Gothenburg,0,15.8,0,18.6,40.4,3
182,University of Kiel,15.4,15.8,11.1,14.6,33.5,3
183,University of Koeln,0,12.9,7.9,19.1,36.6,3
184,University of Leicester,0,0,19.2,19.9,35.4,1
185,University of Leipzig,17.7,15.8,0,10,37.3,3
186,University of Mainz,0,8.3,15.7,13.5,37.9,3
187,University of Marburg,17.7,0,15.7,12.6,34.7,3
188,"University of Maryland, Baltimore",0,0,19.2,18.6,38.4,1
189,University of Montreal,15.4,0,7.9,12.1,50.4,3
190,University of Nebraska - Lincoln,17.7,0,15.7,17.2,36.8,1
191,University of New South Wales,0,0,19.2,14.3,47,1
192,University of Notre Dame,16.6,0,11.1,18.9,34.1,3
193,University of Padua,0,0,13.6,13.7,46.3,3
194,University of Paris Descartes (Paris 5),16,12.2,11.1,12.4,27.8,3
195,University of Paris Diderot (Paris 7),18.2,14.1,11.1,15.6,34.5,3
196,University of Southampton,0,0,20.8,11.9,43.4,1
197,University of Tennessee - Knoxville,14,0,20.8,18,39.3,1
198,University of Turin,21.7,0,11.1,10.8,38.2,3
199,University of Wageningen,0,0,23.6,17,35.2,1
200,Virginia Commonwealth University,14,14.4,20.8,7.7,33.4,1
201,Virginia Polytechnic Institute and State University,15.4,0,17.6,12.4,40.3,1
202,VU University Amsterdam,0,0,17.6,15.8,42.7,1
203,Chalmers University of Technology,0,0,17.6,9.8,31,3
204,Charles University in Prague,15.4,0,0,11.3,37.1,3
205,Claude Bernard University Lyon 1,15.4,0,0,11.5,36.5,3
206,Complutense University of Madrid,0,0,0,12.6,41.3,3
207,Dalhousie University,0,0,15.7,18.1,34.8,1
208,Delft University of Technology,15.4,0,0,21.9,36.2,3
209,Ecole Polytechnique,22.6,0,7.9,14.1,28.4,3
210,George Mason University,0,32.9,11.1,0,24.3,3
211,Georgetown University,0,0,7.9,13.5,34.8,3
212,Hiroshima University,0,0,7.9,10.4,40.6,3
213,Kansas State University,0,0,11.1,12.7,31.8,3
214,Keio University,0,0,7.9,14.2,36.5,3
215,Kobe University,0,0,13.6,15,33.1,3
216,Lancaster University,0,0,17.6,10.2,28.4,3
217,Laval University,0,0,15.7,11.4,37.2,3
218,Louisiana State University - Baton Rouge,0,0,13.6,11.8,39,3
219,Macquarie University,0,0,13.6,15.9,25.6,3
220,Monash University,0,0,7.9,15.4,44.6,3
221,National and Kapodistrian University of Athens,0,0,7.9,5.9,40.1,3
222,Newcastle University,0,0,11.1,20.1,37.8,3
223,Norwegian University of Science and Technology,18.8,0,0,15.7,30.5,3
224,Okayama University,0,0,7.9,10.4,36,3
225,Paul Sabatier University (Toulouse 3),0,6.4,7.9,16.9,33.8,3
226,Peking University,0,0,0,11.3,52.2,3
227,"Queen Mary, U. of London",24.3,0,15.7,7.4,30.2,3
228,Queen's University Belfast,23.5,0,0,10.8,33.5,3
229,Radboud University Nijmegen,0,0,7.9,18.8,40.1,3
230,Royal Institute of Technology,0,15.8,7.9,10.9,35.1,3
231,RWTH Aachen University,6.3,0,7.9,7.4,39,3
232,State University of Campinas,0,0,7.9,6.2,40.6,3
233,State University of New York at Albany,0,0,22.2,9.8,29.1,1
234,State University of New York at Buffalo,0,0,15.7,11.5,39.1,3
235,Swedish University of Agricultural Sciences,0,0,13.6,17,29.9,3
236,Syracuse University,0,0,15.7,14.1,26.8,3
237,Technical University of Berlin,23.5,0,11.1,8.9,29.7,3
238,The Chinese University of Hong Kong,0,0,13.6,5.1,43.3,3
239,The George Washington University,15.4,0,11.1,12.6,32.9,3
240,The Hong Kong University of Science and Technology,0,0,17.6,10.1,34.5,3
241,The University of Adelaide,10.9,0,11.1,12,35.2,3
242,The University of Auckland,17.7,0,11.1,16.3,33.9,3
243,The University of Dundee,0,0,13.6,15.1,28,3
244,The University of Hong Kong,0,0,7.9,10.9,46.3,3
245,The University of New Mexico - Albuquerque,0,0,11.1,19.6,36.3,3
246,The University of Reading,0,0,13.6,17.9,31,1
247,The University of Texas Health Science Center at San Antonio,0,0,22.2,9.8,27.7,1
248,The University of Texas Medical Branch at Galveston,0,0,19.2,8.5,30.5,3
249,Thomas Jefferson University,0,0,15.7,14.5,29.3,3
250,Trinity College Dublin,15.4,14.4,0,11.9,27.4,3
251,Tulane University,0,0,15.7,11.4,30.3,3
252,Umea University,0,0,15.7,17.1,31.3,1
253,University of Alaska - Fairbanks,0,0,15.7,17.9,19.5,1
254,University of Antwerp,0,0,11.1,11.3,33.6,3
255,University of Bochum,0,0,11.1,15,39.3,3
256,University of Bologna,0,0,7.9,10.6,48.9,3
257,University of Bordeaux 1,8.9,0,13.6,11.4,27,3
258,University of Buenos Aires,21.7,0,0,9,36.6,3
259,University of Cape Town,25.1,0,11.1,11.1,30.3,3
260,University of Colorado Health Science Center,0,0,15.7,17.1,34,1
261,University of Durham,0,0,19.2,15.7,33.7,1
262,University of Erlangen-Nuremberg,0,0,13.6,9.8,41.1,3
263,University of Florence,0,0,13.6,16.4,40.4,3
264,University of Genova,0,0,15.7,5.4,34.4,3
265,University of Guelph,0,0,13.6,11,32.9,3
266,University of Halle-Wittenberg,6.3,9.1,7.9,8.1,29.8,3
267,University of Houston,0,0,22.2,8.1,33.9,1
268,University of Innsbruck,0,11.2,7.9,19.2,29.8,3
269,University of Kansas - Lawrence,15.4,0,7.9,15.3,32.3,3
270,University of Karlsruhe,6.3,0,11.1,13.9,33,3
271,University of Kentucky,14,0,7.9,9.6,43.5,3
272,University of Liege,10.9,0,7.9,10.7,30.3,3
273,University of Manitoba,0,0,17.6,7.1,33.9,3
274,University of Massachusetts Medical School - Worcester,0,0,13.6,24.4,28.2,1
275,University of Medicine and Dentistry New Jersey,0,0,22.2,10.1,33.6,1
276,University of Missouri - Columbia,12.5,0,7.9,13.1,41.8,3
277,University of Montpellier 2,14,0,13.6,16.9,31.2,3
278,University of Naples Federico II,0,0,7.9,9.1,42.1,3
279,University of Oregon,14,0,11.1,23.1,28.5,1
280,University of Ottawa,0,0,7.9,12.5,37.6,3
281,University of Saskatchewan,12.5,0,17.6,6.2,32.9,3
282,University of South Carolina - Columbia,0,0,13.6,16,35.9,3
283,University of South Florida,0,0,15.7,9.9,36.6,3
284,University of Southern Denmark,0,0,15.7,13.5,28.9,3
285,University of St Andrews,14,0,7.9,22,30.8,3
286,University of Stuttgart,17.7,0,7.9,8.6,30.1,3
287,University of Szeged,0,15.8,7.9,8.7,24.7,3
288,University of Turku,0,0,11.1,12.7,33.6,3
289,University of Vermont,17.7,0,15.7,11.2,28.6,3
290,University of Victoria,0,0,13.6,12.3,30.1,3
291,University of Warwick,0,0,11.1,14.1,33.9,3
292,University of Waterloo,0,0,19.2,11.4,38.7,1
293,University of York,0,0,11.1,15.4,33.6,3
294,Wake Forest University,0,0,11.1,10.9,33.4,3
295,Washington State University - Pullman,0,0,20.8,15.5,33.6,1
296,Wayne State University,0,0,7.9,9.6,39.9,3
297,Western University,0,0,7.9,17.1,42.2,3
298,Yeshiva University,0,0,11.1,22,34.5,1
299,Yonsei University,0,0,7.9,9.7,43.9,3
300,Aristotle University of Thessaloniki,0,0,7.9,2,34.9,3
301,Auburn University,0,0,7.9,5.2,29.7,3
302,Bar-Ilan University,0,0,11.1,9.2,28.2,3
303,Ben-Gurion University of the Negev,0,0,0,10.1,37.5,3
304,Brigham Young University,12.5,0,11.1,2.9,28,3
305,Carleton University,0,0,13.6,7,26.9,3
